method,data_fraction,seed,accuracy,macro_f1,micro_f1,hamming_loss,train_rows,learning_rate,batch_size,num_epochs,weight_decay,elapsed_min
distilbert,0.01,7,0.0,0.0,0.0,0.04165021453578668,434,2e-05,16,3,0.01,0.1555339256922404
distilbert,0.05,7,0.0,0.0,0.0,0.04165021453578668,2170,2e-05,16,3,0.01,0.2815568526585897
distilbert,0.1,7,0.10926847245255206,0.017048145224940806,0.17858619264158743,0.03922846087025191,4341,2e-05,16,3,0.01,0.445721701780955
distilbert,0.25,7,0.3241201400405381,0.1594742333388986,0.45766790636622184,0.03262786596119929,10852,2e-05,16,3,0.01,0.9377699295679728
distilbert,0.5,7,0.4051962410171365,0.31202166762925254,0.5342685370741483,0.03058780173208034,21705,2e-05,16,3,0.01,1.7263473471005757
distilbert,1.0,7,0.4634236226276027,0.41510049235897734,0.5773195876288659,0.029679644107504805,43410,2e-05,16,3,0.01,3.339779277642568
distilbert,0.01,21,0.0,0.0,0.0,0.04165021453578668,434,2e-05,16,3,0.01,0.1554451584815979
distilbert,0.05,21,0.0,0.0,0.0,0.04165021453578668,2170,2e-05,16,3,0.01,0.2822470466295878
distilbert,0.1,21,0.13561820526994656,0.018794540966044066,0.21211722959653043,0.0394522098502198,4341,2e-05,16,3,0.01,0.4454251607259115
distilbert,0.25,21,0.3114059332964806,0.15576938743714125,0.4486396446418656,0.03267393192766327,10852,2e-05,16,3,0.01,0.9242097775141398
distilbert,0.5,21,0.4099871015293901,0.3219374159205942,0.5372985876268151,0.030614125141488327,21705,2e-05,16,3,0.01,1.7456544121106465
distilbert,1.0,21,0.4621337755666114,0.41883337451804087,0.5797209999063758,0.029541446208112873,43410,2e-05,16,3,0.01,3.3860206484794615
distilbert,0.01,42,0.0,0.0,0.0,0.04165021453578668,434,2e-05,16,3,0.01,0.16425437927246095
distilbert,0.05,42,0.0,0.0,0.0,0.04165021453578668,2170,2e-05,16,3,0.01,0.2765193263689677
distilbert,0.1,42,0.11995577667219458,0.017519752662315355,0.1916006977056219,0.0396496354207797,4341,2e-05,16,3,0.01,0.4358751614888509
distilbert,0.25,42,0.3119587248940483,0.16175489039467314,0.44624611283873833,0.0328121298270552,10852,2e-05,16,3,0.01,0.9181444843610128
distilbert,0.5,42,0.4077759351391192,0.3015044873959278,0.5335858082519433,0.030798389007344232,21705,2e-05,16,3,0.01,1.7139778772989909
distilbert,1.0,42,0.4575271789202138,0.4162153100883592,0.5763764705882353,0.029620416436336835,43410,2e-05,16,3,0.01,3.3544538696606954
