method,data_fraction,seed,emotion,precision,recall,f1,support,tp,fp,fn,tn
distilbert,0.01,7,admiration,0.0,0.0,0.0,504,0,0,504,4923
distilbert,0.01,7,amusement,0.0,0.0,0.0,264,0,0,264,5163
distilbert,0.01,7,anger,0.0,0.0,0.0,198,0,0,198,5229
distilbert,0.01,7,annoyance,0.0,0.0,0.0,320,0,0,320,5107
distilbert,0.01,7,approval,0.0,0.0,0.0,351,0,0,351,5076
distilbert,0.01,7,caring,0.0,0.0,0.0,135,0,0,135,5292
distilbert,0.01,7,confusion,0.0,0.0,0.0,153,0,0,153,5274
distilbert,0.01,7,curiosity,0.0,0.0,0.0,284,0,0,284,5143
distilbert,0.01,7,desire,0.0,0.0,0.0,83,0,0,83,5344
distilbert,0.01,7,disappointment,0.0,0.0,0.0,151,0,0,151,5276
distilbert,0.01,7,disapproval,0.0,0.0,0.0,267,0,0,267,5160
distilbert,0.01,7,disgust,0.0,0.0,0.0,123,0,0,123,5304
distilbert,0.01,7,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
distilbert,0.01,7,excitement,0.0,0.0,0.0,103,0,0,103,5324
distilbert,0.01,7,fear,0.0,0.0,0.0,78,0,0,78,5349
distilbert,0.01,7,gratitude,0.0,0.0,0.0,352,0,0,352,5075
distilbert,0.01,7,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,0.01,7,joy,0.0,0.0,0.0,161,0,0,161,5266
distilbert,0.01,7,love,0.0,0.0,0.0,238,0,0,238,5189
distilbert,0.01,7,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,0.01,7,neutral,0.0,0.0,0.0,1787,0,0,1787,3640
distilbert,0.01,7,optimism,0.0,0.0,0.0,186,0,0,186,5241
distilbert,0.01,7,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,0.01,7,realization,0.0,0.0,0.0,145,0,0,145,5282
distilbert,0.01,7,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,0.01,7,remorse,0.0,0.0,0.0,56,0,0,56,5371
distilbert,0.01,7,sadness,0.0,0.0,0.0,156,0,0,156,5271
distilbert,0.01,7,surprise,0.0,0.0,0.0,141,0,0,141,5286
distilbert,0.05,7,admiration,0.0,0.0,0.0,504,0,0,504,4923
distilbert,0.05,7,amusement,0.0,0.0,0.0,264,0,0,264,5163
distilbert,0.05,7,anger,0.0,0.0,0.0,198,0,0,198,5229
distilbert,0.05,7,annoyance,0.0,0.0,0.0,320,0,0,320,5107
distilbert,0.05,7,approval,0.0,0.0,0.0,351,0,0,351,5076
distilbert,0.05,7,caring,0.0,0.0,0.0,135,0,0,135,5292
distilbert,0.05,7,confusion,0.0,0.0,0.0,153,0,0,153,5274
distilbert,0.05,7,curiosity,0.0,0.0,0.0,284,0,0,284,5143
distilbert,0.05,7,desire,0.0,0.0,0.0,83,0,0,83,5344
distilbert,0.05,7,disappointment,0.0,0.0,0.0,151,0,0,151,5276
distilbert,0.05,7,disapproval,0.0,0.0,0.0,267,0,0,267,5160
distilbert,0.05,7,disgust,0.0,0.0,0.0,123,0,0,123,5304
distilbert,0.05,7,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
distilbert,0.05,7,excitement,0.0,0.0,0.0,103,0,0,103,5324
distilbert,0.05,7,fear,0.0,0.0,0.0,78,0,0,78,5349
distilbert,0.05,7,gratitude,0.0,0.0,0.0,352,0,0,352,5075
distilbert,0.05,7,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,0.05,7,joy,0.0,0.0,0.0,161,0,0,161,5266
distilbert,0.05,7,love,0.0,0.0,0.0,238,0,0,238,5189
distilbert,0.05,7,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,0.05,7,neutral,0.0,0.0,0.0,1787,0,0,1787,3640
distilbert,0.05,7,optimism,0.0,0.0,0.0,186,0,0,186,5241
distilbert,0.05,7,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,0.05,7,realization,0.0,0.0,0.0,145,0,0,145,5282
distilbert,0.05,7,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,0.05,7,remorse,0.0,0.0,0.0,56,0,0,56,5371
distilbert,0.05,7,sadness,0.0,0.0,0.0,156,0,0,156,5271
distilbert,0.05,7,surprise,0.0,0.0,0.0,141,0,0,141,5286
distilbert,0.1,7,admiration,0.0,0.0,0.0,504,0,0,504,4923
distilbert,0.1,7,amusement,0.0,0.0,0.0,264,0,0,264,5163
distilbert,0.1,7,anger,0.0,0.0,0.0,198,0,0,198,5229
distilbert,0.1,7,annoyance,0.0,0.0,0.0,320,0,0,320,5107
distilbert,0.1,7,approval,0.0,0.0,0.0,351,0,0,351,5076
distilbert,0.1,7,caring,0.0,0.0,0.0,135,0,0,135,5292
distilbert,0.1,7,confusion,0.0,0.0,0.0,153,0,0,153,5274
distilbert,0.1,7,curiosity,0.0,0.0,0.0,284,0,0,284,5143
distilbert,0.1,7,desire,0.0,0.0,0.0,83,0,0,83,5344
distilbert,0.1,7,disappointment,0.0,0.0,0.0,151,0,0,151,5276
distilbert,0.1,7,disapproval,0.0,0.0,0.0,267,0,0,267,5160
distilbert,0.1,7,disgust,0.0,0.0,0.0,123,0,0,123,5304
distilbert,0.1,7,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
distilbert,0.1,7,excitement,0.0,0.0,0.0,103,0,0,103,5324
distilbert,0.1,7,fear,0.0,0.0,0.0,78,0,0,78,5349
distilbert,0.1,7,gratitude,0.0,0.0,0.0,352,0,0,352,5075
distilbert,0.1,7,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,0.1,7,joy,0.0,0.0,0.0,161,0,0,161,5266
distilbert,0.1,7,love,0.0,0.0,0.0,238,0,0,238,5189
distilbert,0.1,7,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,0.1,7,neutral,0.6982758620689655,0.36261891438164523,0.47734806629834253,1787,648,280,1139,3360
distilbert,0.1,7,optimism,0.0,0.0,0.0,186,0,0,186,5241
distilbert,0.1,7,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,0.1,7,realization,0.0,0.0,0.0,145,0,0,145,5282
distilbert,0.1,7,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,0.1,7,remorse,0.0,0.0,0.0,56,0,0,56,5371
distilbert,0.1,7,sadness,0.0,0.0,0.0,156,0,0,156,5271
distilbert,0.1,7,surprise,0.0,0.0,0.0,141,0,0,141,5286
distilbert,0.25,7,admiration,0.7055961070559611,0.5753968253968254,0.6338797814207651,504,290,121,214,4802
distilbert,0.25,7,amusement,0.8237704918032787,0.7613636363636364,0.7913385826771654,264,201,43,63,5120
distilbert,0.25,7,anger,0.0,0.0,0.0,198,0,0,198,5229
distilbert,0.25,7,annoyance,0.0,0.0,0.0,320,0,0,320,5107
distilbert,0.25,7,approval,0.0,0.0,0.0,351,0,0,351,5076
distilbert,0.25,7,caring,0.0,0.0,0.0,135,0,0,135,5292
distilbert,0.25,7,confusion,0.0,0.0,0.0,153,0,0,153,5274
distilbert,0.25,7,curiosity,0.58,0.20422535211267606,0.3020833333333333,284,58,42,226,5101
distilbert,0.25,7,desire,0.0,0.0,0.0,83,0,0,83,5344
distilbert,0.25,7,disappointment,0.0,0.0,0.0,151,0,0,151,5276
distilbert,0.25,7,disapproval,0.0,0.0,0.0,267,0,0,267,5160
distilbert,0.25,7,disgust,0.0,0.0,0.0,123,0,0,123,5304
distilbert,0.25,7,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
distilbert,0.25,7,excitement,0.0,0.0,0.0,103,0,0,103,5324
distilbert,0.25,7,fear,0.0,0.0,0.0,78,0,0,78,5349
distilbert,0.25,7,gratitude,0.9359756097560976,0.8721590909090909,0.9029411764705882,352,307,21,45,5054
distilbert,0.25,7,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,0.25,7,joy,0.9230769230769231,0.07453416149068323,0.13793103448275862,161,12,1,149,5265
distilbert,0.25,7,love,0.8245614035087719,0.7899159663865546,0.8068669527896996,238,188,40,50,5149
distilbert,0.25,7,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,0.25,7,neutral,0.6928374655647382,0.5629546726357023,0.6211793763507255,1787,1006,446,781,3194
distilbert,0.25,7,optimism,0.8108108108108109,0.16129032258064516,0.26905829596412556,186,30,7,156,5234
distilbert,0.25,7,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,0.25,7,realization,0.0,0.0,0.0,145,0,0,145,5282
distilbert,0.25,7,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,0.25,7,remorse,0.0,0.0,0.0,56,0,0,56,5371
distilbert,0.25,7,sadness,0.0,0.0,0.0,156,0,0,156,5271
distilbert,0.25,7,surprise,0.0,0.0,0.0,141,0,0,141,5286
distilbert,0.5,7,admiration,0.7124183006535948,0.6488095238095238,0.6791277258566978,504,327,132,177,4791
distilbert,0.5,7,amusement,0.8078291814946619,0.8598484848484849,0.8330275229357799,264,227,54,37,5109
distilbert,0.5,7,anger,0.625,0.30303030303030304,0.40816326530612246,198,60,36,138,5193
distilbert,0.5,7,annoyance,0.25,0.003125,0.006172839506172839,320,1,3,319,5104
distilbert,0.5,7,approval,0.5939849624060151,0.22507122507122507,0.32644628099173556,351,79,54,272,5022
distilbert,0.5,7,caring,0.75,0.044444444444444446,0.08391608391608392,135,6,2,129,5290
distilbert,0.5,7,confusion,0.5833333333333334,0.13725490196078433,0.2222222222222222,153,21,15,132,5259
distilbert,0.5,7,curiosity,0.5625,0.38028169014084506,0.453781512605042,284,108,84,176,5059
distilbert,0.5,7,desire,0.7777777777777778,0.1686746987951807,0.27722772277227725,83,14,4,69,5340
distilbert,0.5,7,disappointment,0.0,0.0,0.0,151,0,0,151,5276
distilbert,0.5,7,disapproval,0.532258064516129,0.12359550561797752,0.2006079027355623,267,33,29,234,5131
distilbert,0.5,7,disgust,0.0,0.0,0.0,123,0,0,123,5304
distilbert,0.5,7,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
distilbert,0.5,7,excitement,1.0,0.038834951456310676,0.07476635514018691,103,4,0,99,5324
distilbert,0.5,7,fear,0.9230769230769231,0.15384615384615385,0.26373626373626374,78,12,1,66,5348
distilbert,0.5,7,gratitude,0.9486404833836858,0.8920454545454546,0.9194729136163983,352,314,17,38,5058
distilbert,0.5,7,grief,0.0,0.0,0.0,6,0,0,6,5421
distilbert,0.5,7,joy,0.6727272727272727,0.45962732919254656,0.5461254612546126,161,74,36,87,5230
distilbert,0.5,7,love,0.8275862068965517,0.8067226890756303,0.8170212765957446,238,192,40,46,5149
distilbert,0.5,7,nervousness,0.0,0.0,0.0,23,0,0,23,5404
distilbert,0.5,7,neutral,0.7155234657039711,0.5545607162842753,0.6248423707440101,1787,991,394,796,3246
distilbert,0.5,7,optimism,0.7142857142857143,0.4032258064516129,0.5154639175257731,186,75,30,111,5211
distilbert,0.5,7,pride,0.0,0.0,0.0,16,0,0,16,5411
distilbert,0.5,7,realization,0.0,0.0,0.0,145,0,0,145,5282
distilbert,0.5,7,relief,0.0,0.0,0.0,11,0,0,11,5416
distilbert,0.5,7,remorse,0.6382978723404256,0.5357142857142857,0.5825242718446602,56,30,17,26,5354
distilbert,0.5,7,sadness,0.7916666666666666,0.36538461538461536,0.5,156,57,15,99,5256
distilbert,0.5,7,surprise,0.6507936507936508,0.2907801418439716,0.4019607843137255,141,41,22,100,5264
distilbert,1.0,7,admiration,0.7049180327868853,0.6825396825396826,0.6935483870967742,504,344,144,160,4779
distilbert,1.0,7,amusement,0.8,0.8636363636363636,0.8306010928961749,264,228,57,36,5106
distilbert,1.0,7,anger,0.6260869565217392,0.36363636363636365,0.46006389776357826,198,72,43,126,5186
