method,data_fraction,seed,emotion,f1,precision,recall
distilbert,0.01,7,admiration,0.0,0.0,0.0
distilbert,0.01,7,amusement,0.0,0.0,0.0
distilbert,0.01,7,anger,0.0,0.0,0.0
distilbert,0.01,7,annoyance,0.0,0.0,0.0
distilbert,0.01,7,approval,0.0,0.0,0.0
distilbert,0.01,7,caring,0.0,0.0,0.0
distilbert,0.01,7,confusion,0.0,0.0,0.0
distilbert,0.01,7,curiosity,0.0,0.0,0.0
distilbert,0.01,7,desire,0.0,0.0,0.0
distilbert,0.01,7,disappointment,0.0,0.0,0.0
distilbert,0.01,7,disapproval,0.0,0.0,0.0
distilbert,0.01,7,disgust,0.0,0.0,0.0
distilbert,0.01,7,embarrassment,0.0,0.0,0.0
distilbert,0.01,7,excitement,0.0,0.0,0.0
distilbert,0.01,7,fear,0.0,0.0,0.0
distilbert,0.01,7,gratitude,0.0,0.0,0.0
distilbert,0.01,7,grief,0.0,0.0,0.0
distilbert,0.01,7,joy,0.0,0.0,0.0
distilbert,0.01,7,love,0.0,0.0,0.0
distilbert,0.01,7,nervousness,0.0,0.0,0.0
distilbert,0.01,7,neutral,0.0,0.0,0.0
distilbert,0.01,7,optimism,0.0,0.0,0.0
distilbert,0.01,7,pride,0.0,0.0,0.0
distilbert,0.01,7,realization,0.0,0.0,0.0
distilbert,0.01,7,relief,0.0,0.0,0.0
distilbert,0.01,7,remorse,0.0,0.0,0.0
distilbert,0.01,7,sadness,0.0,0.0,0.0
distilbert,0.01,7,surprise,0.0,0.0,0.0
distilbert,0.05,7,admiration,0.0,0.0,0.0
distilbert,0.05,7,amusement,0.0,0.0,0.0
distilbert,0.05,7,anger,0.0,0.0,0.0
distilbert,0.05,7,annoyance,0.0,0.0,0.0
distilbert,0.05,7,approval,0.0,0.0,0.0
distilbert,0.05,7,caring,0.0,0.0,0.0
distilbert,0.05,7,confusion,0.0,0.0,0.0
distilbert,0.05,7,curiosity,0.0,0.0,0.0
distilbert,0.05,7,desire,0.0,0.0,0.0
distilbert,0.05,7,disappointment,0.0,0.0,0.0
distilbert,0.05,7,disapproval,0.0,0.0,0.0
distilbert,0.05,7,disgust,0.0,0.0,0.0
distilbert,0.05,7,embarrassment,0.0,0.0,0.0
distilbert,0.05,7,excitement,0.0,0.0,0.0
distilbert,0.05,7,fear,0.0,0.0,0.0
distilbert,0.05,7,gratitude,0.0,0.0,0.0
distilbert,0.05,7,grief,0.0,0.0,0.0
distilbert,0.05,7,joy,0.0,0.0,0.0
distilbert,0.05,7,love,0.0,0.0,0.0
distilbert,0.05,7,nervousness,0.0,0.0,0.0
distilbert,0.05,7,neutral,0.0,0.0,0.0
distilbert,0.05,7,optimism,0.0,0.0,0.0
distilbert,0.05,7,pride,0.0,0.0,0.0
distilbert,0.05,7,realization,0.0,0.0,0.0
distilbert,0.05,7,relief,0.0,0.0,0.0
distilbert,0.05,7,remorse,0.0,0.0,0.0
distilbert,0.05,7,sadness,0.0,0.0,0.0
distilbert,0.05,7,surprise,0.0,0.0,0.0
distilbert,0.1,7,admiration,0.0,0.0,0.0
distilbert,0.1,7,amusement,0.0,0.0,0.0
distilbert,0.1,7,anger,0.0,0.0,0.0
distilbert,0.1,7,annoyance,0.0,0.0,0.0
distilbert,0.1,7,approval,0.0,0.0,0.0
distilbert,0.1,7,caring,0.0,0.0,0.0
distilbert,0.1,7,confusion,0.0,0.0,0.0
distilbert,0.1,7,curiosity,0.0,0.0,0.0
distilbert,0.1,7,desire,0.0,0.0,0.0
distilbert,0.1,7,disappointment,0.0,0.0,0.0
distilbert,0.1,7,disapproval,0.0,0.0,0.0
distilbert,0.1,7,disgust,0.0,0.0,0.0
distilbert,0.1,7,embarrassment,0.0,0.0,0.0
distilbert,0.1,7,excitement,0.0,0.0,0.0
distilbert,0.1,7,fear,0.0,0.0,0.0
distilbert,0.1,7,gratitude,0.0,0.0,0.0
distilbert,0.1,7,grief,0.0,0.0,0.0
distilbert,0.1,7,joy,0.0,0.0,0.0
distilbert,0.1,7,love,0.0,0.0,0.0
distilbert,0.1,7,nervousness,0.0,0.0,0.0
distilbert,0.1,7,neutral,0.47734806629834253,0.6982758620689655,0.36261891438164523
distilbert,0.1,7,optimism,0.0,0.0,0.0
distilbert,0.1,7,pride,0.0,0.0,0.0
distilbert,0.1,7,realization,0.0,0.0,0.0
distilbert,0.1,7,relief,0.0,0.0,0.0
distilbert,0.1,7,remorse,0.0,0.0,0.0
distilbert,0.1,7,sadness,0.0,0.0,0.0
distilbert,0.1,7,surprise,0.0,0.0,0.0
distilbert,0.25,7,admiration,0.6338797814207651,0.7055961070559611,0.5753968253968254
distilbert,0.25,7,amusement,0.7913385826771654,0.8237704918032787,0.7613636363636364
distilbert,0.25,7,anger,0.0,0.0,0.0
distilbert,0.25,7,annoyance,0.0,0.0,0.0
distilbert,0.25,7,approval,0.0,0.0,0.0
distilbert,0.25,7,caring,0.0,0.0,0.0
distilbert,0.25,7,confusion,0.0,0.0,0.0
distilbert,0.25,7,curiosity,0.3020833333333333,0.58,0.20422535211267606
distilbert,0.25,7,desire,0.0,0.0,0.0
distilbert,0.25,7,disappointment,0.0,0.0,0.0
distilbert,0.25,7,disapproval,0.0,0.0,0.0
distilbert,0.25,7,disgust,0.0,0.0,0.0
distilbert,0.25,7,embarrassment,0.0,0.0,0.0
distilbert,0.25,7,excitement,0.0,0.0,0.0
distilbert,0.25,7,fear,0.0,0.0,0.0
distilbert,0.25,7,gratitude,0.9029411764705882,0.9359756097560976,0.8721590909090909
distilbert,0.25,7,grief,0.0,0.0,0.0
distilbert,0.25,7,joy,0.13793103448275862,0.9230769230769231,0.07453416149068323
distilbert,0.25,7,love,0.8068669527896996,0.8245614035087719,0.7899159663865546
distilbert,0.25,7,nervousness,0.0,0.0,0.0
distilbert,0.25,7,neutral,0.6211793763507255,0.6928374655647382,0.5629546726357023
distilbert,0.25,7,optimism,0.26905829596412556,0.8108108108108109,0.16129032258064516
distilbert,0.25,7,pride,0.0,0.0,0.0
distilbert,0.25,7,realization,0.0,0.0,0.0
distilbert,0.25,7,relief,0.0,0.0,0.0
distilbert,0.25,7,remorse,0.0,0.0,0.0
distilbert,0.25,7,sadness,0.0,0.0,0.0
distilbert,0.25,7,surprise,0.0,0.0,0.0
distilbert,0.5,7,admiration,0.6791277258566978,0.7124183006535948,0.6488095238095238
distilbert,0.5,7,amusement,0.8330275229357799,0.8078291814946619,0.8598484848484849
distilbert,0.5,7,anger,0.40816326530612246,0.625,0.30303030303030304
distilbert,0.5,7,annoyance,0.006172839506172839,0.25,0.003125
distilbert,0.5,7,approval,0.32644628099173556,0.5939849624060151,0.22507122507122507
distilbert,0.5,7,caring,0.08391608391608392,0.75,0.044444444444444446
distilbert,0.5,7,confusion,0.2222222222222222,0.5833333333333334,0.13725490196078433
distilbert,0.5,7,curiosity,0.453781512605042,0.5625,0.38028169014084506
distilbert,0.5,7,desire,0.27722772277227725,0.7777777777777778,0.1686746987951807
distilbert,0.5,7,disappointment,0.0,0.0,0.0
distilbert,0.5,7,disapproval,0.2006079027355623,0.532258064516129,0.12359550561797752
distilbert,0.5,7,disgust,0.0,0.0,0.0
distilbert,0.5,7,embarrassment,0.0,0.0,0.0
distilbert,0.5,7,excitement,0.07476635514018691,1.0,0.038834951456310676
distilbert,0.5,7,fear,0.26373626373626374,0.9230769230769231,0.15384615384615385
distilbert,0.5,7,gratitude,0.9194729136163983,0.9486404833836858,0.8920454545454546
distilbert,0.5,7,grief,0.0,0.0,0.0
distilbert,0.5,7,joy,0.5461254612546126,0.6727272727272727,0.45962732919254656
distilbert,0.5,7,love,0.8170212765957446,0.8275862068965517,0.8067226890756303
distilbert,0.5,7,nervousness,0.0,0.0,0.0
distilbert,0.5,7,neutral,0.6248423707440101,0.7155234657039711,0.5545607162842753
distilbert,0.5,7,optimism,0.5154639175257731,0.7142857142857143,0.4032258064516129
distilbert,0.5,7,pride,0.0,0.0,0.0
distilbert,0.5,7,realization,0.0,0.0,0.0
distilbert,0.5,7,relief,0.0,0.0,0.0
distilbert,0.5,7,remorse,0.5825242718446602,0.6382978723404256,0.5357142857142857
distilbert,0.5,7,sadness,0.5,0.7916666666666666,0.36538461538461536
distilbert,0.5,7,surprise,0.4019607843137255,0.6507936507936508,0.2907801418439716
distilbert,1.0,7,admiration,0.6935483870967742,0.7049180327868853,0.6825396825396826
distilbert,1.0,7,amusement,0.8306010928961749,0.8,0.8636363636363636
distilbert,1.0,7,anger,0.46006389776357826,0.6260869565217392,0.36363636363636365
distilbert,1.0,7,annoyance,0.1984732824427481,0.5342465753424658,0.121875
distilbert,1.0,7,approval,0.3561643835616438,0.56875,0.25925925925925924
distilbert,1.0,7,caring,0.3673469387755102,0.5901639344262295,0.26666666666666666
