method,data_fraction,seed,emotion,precision,recall,f1,support,tp,fp,fn,tn
setfit,0.01,7,admiration,0.673469387755102,0.5238095238095238,0.5892857142857143,504,264,128,240,4795
setfit,0.01,7,amusement,0.7923076923076923,0.7803030303030303,0.7862595419847328,264,206,54,58,5109
setfit,0.01,7,anger,0.7,0.0707070707070707,0.128440366972477,198,14,6,184,5223
setfit,0.01,7,annoyance,0.3503184713375796,0.171875,0.230607966457023,320,55,102,265,5005
setfit,0.01,7,approval,0.2912087912087912,0.452991452991453,0.354515050167224,351,159,387,192,4689
setfit,0.01,7,caring,0.2631578947368421,0.037037037037037,0.0649350649350649,135,5,14,130,5278
setfit,0.01,7,confusion,0.3243243243243243,0.0784313725490196,0.1263157894736842,153,12,25,141,5249
setfit,0.01,7,curiosity,0.3452685421994885,0.4753521126760563,0.4,284,135,256,149,4887
setfit,0.01,7,desire,0.6,0.072289156626506,0.1290322580645161,83,6,4,77,5340
setfit,0.01,7,disappointment,0.1,0.0066225165562913,0.0124223602484472,151,1,9,150,5267
setfit,0.01,7,disapproval,0.2918287937743191,0.2808988764044944,0.2862595419847328,267,75,182,192,4978
setfit,0.01,7,disgust,0.7,0.1707317073170731,0.2745098039215686,123,21,9,102,5295
setfit,0.01,7,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
setfit,0.01,7,excitement,0.6,0.087378640776699,0.1525423728813559,103,9,6,94,5318
setfit,0.01,7,fear,0.0,0.0,0.0,78,0,0,78,5349
setfit,0.01,7,gratitude,0.8918128654970761,0.8664772727272727,0.8789625360230547,352,305,37,47,5038
setfit,0.01,7,grief,0.0,0.0,0.0,6,0,0,6,5421
setfit,0.01,7,joy,0.6483516483516484,0.3664596273291925,0.4682539682539682,161,59,32,102,5234
setfit,0.01,7,love,0.7458333333333333,0.7521008403361344,0.7489539748953975,238,179,61,59,5128
setfit,0.01,7,nervousness,0.0,0.0,0.0,23,0,0,23,5404
setfit,0.01,7,neutral,0.6529644268774704,0.4622271964185786,0.5412844036697247,1787,826,439,961,3201
setfit,0.01,7,optimism,0.5897435897435898,0.2473118279569892,0.3484848484848485,186,46,32,140,5209
setfit,0.01,7,pride,0.0,0.0,0.0,16,0,0,16,5411
setfit,0.01,7,realization,0.0,0.0,0.0,145,0,1,145,5281
setfit,0.01,7,relief,0.0,0.0,0.0,11,0,0,11,5416
setfit,0.01,7,remorse,0.7647058823529411,0.2321428571428571,0.3561643835616438,56,13,4,43,5367
setfit,0.01,7,sadness,0.6470588235294118,0.2115384615384615,0.3188405797101449,156,33,18,123,5253
setfit,0.01,7,surprise,0.6,0.1276595744680851,0.2105263157894736,141,18,12,123,5274
setfit,0.05,7,admiration,0.7036199095022625,0.6170634920634921,0.6575052854122622,504,311,131,193,4792
setfit,0.05,7,amusement,0.7666666666666667,0.7840909090909091,0.7752808988764045,264,207,63,57,5100
setfit,0.05,7,anger,0.5925925925925926,0.2424242424242424,0.3440860215053763,198,48,33,150,5196
setfit,0.05,7,annoyance,0.3016759776536313,0.3375,0.3185840707964602,320,108,250,212,4857
setfit,0.05,7,approval,0.2589147286821705,0.4757834757834758,0.3353413654618474,351,167,478,184,4598
