method,data_fraction,seed,emotion,precision,recall,f1,support,tp,fp,fn,tn
svm_tfidf,0.01,7,admiration,0.5686274509803921,0.17261904761904762,0.2648401826484018,504,87,66,417,4857
svm_tfidf,0.01,7,amusement,0.803030303030303,0.4015151515151515,0.5353535353535354,264,106,26,158,5137
svm_tfidf,0.01,7,anger,0.5121951219512195,0.10606060606060606,0.17573221757322174,198,21,20,177,5209
svm_tfidf,0.01,7,annoyance,0.16216216216216217,0.01875,0.03361344537815126,320,6,31,314,5076
svm_tfidf,0.01,7,approval,0.2714285714285714,0.05413105413105413,0.09026128266033254,351,19,51,332,5025
svm_tfidf,0.01,7,caring,0.06666666666666667,0.007407407407407408,0.013333333333333334,135,1,14,134,5278
svm_tfidf,0.01,7,confusion,0.06896551724137931,0.0392156862745098,0.05,153,6,81,147,5193
svm_tfidf,0.01,7,curiosity,0.09278350515463918,0.03169014084507042,0.047244094488188976,284,9,88,275,5055
svm_tfidf,0.01,7,desire,0.7692307692307693,0.12048192771084337,0.20833333333333334,83,10,3,73,5341
svm_tfidf,0.01,7,disappointment,0.0,0.0,0.0,151,0,11,151,5265
svm_tfidf,0.01,7,disapproval,0.09090909090909091,0.003745318352059925,0.007194244604316547,267,1,10,266,5150
svm_tfidf,0.01,7,disgust,0.0,0.0,0.0,123,0,0,123,5304
svm_tfidf,0.01,7,embarrassment,0.0,0.0,0.0,37,0,0,37,5390
svm_tfidf,0.01,7,excitement,0.17647058823529413,0.02912621359223301,0.05,103,3,14,100,5310
svm_tfidf,0.01,7,fear,0.4,0.02564102564102564,0.04819277108433735,78,2,3,76,5346
svm_tfidf,0.01,7,gratitude,0.968503937007874,0.6988636363636364,0.8118811881188119,352,246,8,106,5067
svm_tfidf,0.01,7,grief,0.0,0.0,0.0,6,0,0,6,5421
svm_tfidf,0.01,7,joy,0.5625,0.055900621118012424,0.1016949152542373,161,9,7,152,5259
svm_tfidf,0.01,7,love,0.7675675675675676,0.5966386554621849,0.6713947990543735,238,142,43,96,5146
svm_tfidf,0.01,7,nervousness,0.0,0.0,0.0,23,0,0,23,5404
svm_tfidf,0.01,7,neutral,0.43653250773993807,0.23670956911024063,0.306966618287373,1787,423,546,1364,3094
svm_tfidf,0.01,7,optimism,0.603448275862069,0.1881720430107527,0.28688524590163933,186,35,23,151,5218
svm_tfidf,0.01,7,pride,0.0,0.0,0.0,16,0,0,16,5411
svm_tfidf,0.01,7,realization,0.0,0.0,0.0,145,0,1,145,5281
svm_tfidf,0.01,7,relief,0.0,0.0,0.0,11,0,0,11,5416
svm_tfidf,0.01,7,remorse,0.6111111111111112,0.39285714285714285,0.4782608695652174,56,22,14,34,5357
svm_tfidf,0.01,7,sadness,0.3050847457627119,0.11538461538461539,0.16744186046511628,156,18,41,138,5230
svm_tfidf,0.01,7,surprise,0.0625,0.03546099290780142,0.04524886877828054,141,5,75,136,5211
svm_tfidf,0.05,7,admiration,0.5501113585746102,0.49007936507936506,0.5183630640083945,504,247,202,257,4721
svm_tfidf,0.05,7,amusement,0.7663934426229508,0.7083333333333334,0.7362204724409449,264,187,57,77,5106
svm_tfidf,0.05,7,anger,0.3924050632911392,0.15656565656565657,0.22382671480144403,198,31,48,167,5181
svm_tfidf,0.05,7,annoyance,0.2808219178082192,0.128125,0.1759656652360515,320,41,105,279,5002
svm_tfidf,0.05,7,approval,0.2534562211981567,0.15669515669515668,0.1936619718309859,351,55,162,296,4914
svm_tfidf,0.05,7,caring,0.1896551724137931,0.08148148148148149,0.11398963730569948,135,11,47,124,5245
svm_tfidf,0.05,7,confusion,0.11320754716981132,0.0784313725490196,0.09266409266409266,153,12,94,141,5180
svm_tfidf,0.05,7,curiosity,0.14634146341463414,0.06338028169014084,0.08845208845208845,284,18,105,266,5038
svm_tfidf,0.05,7,desire,0.5588235294117647,0.2289156626506024,0.3247863247863248,83,19,15,64,5329
svm_tfidf,0.05,7,disappointment,0.09090909090909091,0.013245033112582781,0.023121387283236993,151,2,20,149,5256
svm_tfidf,0.05,7,disapproval,0.19607843137254902,0.0749063670411985,0.10840108401084012,267,20,82,247,5078
svm_tfidf,0.05,7,disgust,0.6756756756756757,0.2032520325203252,0.3125,123,25,12,98,5292
svm_tfidf,0.05,7,embarrassment,0.0,0.0,0.0,37,0,1,37,5389
svm_tfidf,0.05,7,excitement,0.3090909090909091,0.1650485436893204,0.21518987341772153,103,17,38,86,5286
svm_tfidf,0.05,7,fear,0.8148148148148148,0.28205128205128205,0.41904761904761906,78,22,5,56,5344
svm_tfidf,0.05,7,gratitude,0.8708791208791209,0.9005681818181818,0.8854748603351955,352,317,47,35,5028
svm_tfidf,0.05,7,grief,0.0,0.0,0.0,6,0,7,6,5414
svm_tfidf,0.05,7,joy,0.5299145299145299,0.38509316770186336,0.4460431654676259,161,62,55,99,5211
svm_tfidf,0.05,7,love,0.6991869918699187,0.7226890756302521,0.7107438016528925,238,172,74,66,5115
svm_tfidf,0.05,7,nervousness,0.0,0.0,0.0,23,0,1,23,5403
svm_tfidf,0.05,7,neutral,0.5069060773480663,0.4107442641298265,0.4537867078825348,1787,734,714,1053,2926
svm_tfidf,0.05,7,optimism,0.6153846153846154,0.3870967741935484,0.4752475247524752,186,72,45,114,5196
svm_tfidf,0.05,7,pride,0.0,0.0,0.0,16,0,1,16,5410
svm_tfidf,0.05,7,realization,0.07317073170731707,0.020689655172413793,0.03225806451612903,145,3,38,142,5244
svm_tfidf,0.05,7,relief,0.0,0.0,0.0,11,0,0,11,5416
svm_tfidf,0.05,7,remorse,0.5789473684210527,0.5892857142857143,0.584070796460177,56,33,24,23,5347
svm_tfidf,0.05,7,sadness,0.5507246376811594,0.24358974358974358,0.3377777777777778,156,38,31,118,5240
svm_tfidf,0.05,7,surprise,0.2753623188405797,0.1347517730496454,0.18095238095238095,141,19,50,122,5236
svm_tfidf,0.1,7,admiration,0.4874551971326165,0.5396825396825397,0.512241054613936,504,272,286,232,4637
svm_tfidf,0.1,7,amusement,0.7272727272727273,0.696969696969697,0.7117988394584139,264,184,69,80,5094
svm_tfidf,0.1,7,anger,0.34146341463414637,0.2828282828282828,0.30939226519337015,198,56,108,142,5121
svm_tfidf,0.1,7,annoyance,0.1952191235059761,0.153125,0.17162872154115585,320,49,202,271,4905
svm_tfidf,0.1,7,approval,0.1855421686746988,0.21937321937321938,0.2010443864229765,351,77,338,274,4738
svm_tfidf,0.1,7,caring,0.16030534351145037,0.15555555555555556,0.15789473684210525,135,21,110,114,5182
svm_tfidf,0.1,7,confusion,0.15,0.1568627450980392,0.15335463258785942,153,24,136,129,5138
svm_tfidf,0.1,7,curiosity,0.11707317073170732,0.08450704225352113,0.09815950920245399,284,24,181,260,4962
