method,data_fraction,seed,emotion,precision,recall,f1,support,tp,fp,fn,tn
zero_shot_bart,0.0,7,admiration,0.28507795100222716,0.7619047619047619,0.41491085899513774,504,384,963,120,3960
zero_shot_bart,0.0,7,amusement,0.24076147816349383,0.8143939393939394,0.3716508210890233,264,215,678,49,4485
zero_shot_bart,0.0,7,anger,0.15797317436661698,0.5353535353535354,0.24395857307249713,198,106,565,92,4664
zero_shot_bart,0.0,7,annoyance,0.10730253353204174,0.675,0.18516930990141447,320,216,1797,104,3310
zero_shot_bart,0.0,7,approval,0.10728744939271255,0.452991452991453,0.1734860883797054,351,159,1323,192,3753
zero_shot_bart,0.0,7,caring,0.037991266375545854,0.6444444444444445,0.07175257731958763,135,87,2203,48,3089
zero_shot_bart,0.0,7,confusion,0.051762114537444934,0.9215686274509803,0.09801876955161627,153,141,2583,12,2691
zero_shot_bart,0.0,7,curiosity,0.1912621359223301,0.6936619718309859,0.2998477929984779,284,197,833,87,4310
zero_shot_bart,0.0,7,desire,0.06636670416197975,0.7108433734939759,0.12139917695473251,83,59,830,24,4514
zero_shot_bart,0.0,7,disappointment,0.06355241716458447,0.7748344370860927,0.11746987951807229,151,117,1724,34,3552
zero_shot_bart,0.0,7,disapproval,0.08589951377633712,0.7940074906367042,0.1550274223034735,267,212,2256,55,2904
zero_shot_bart,0.0,7,disgust,0.08316633266533066,0.6747967479674797,0.1480820695807315,123,83,915,40,4389
zero_shot_bart,0.0,7,embarrassment,0.01885014137606032,0.5405405405405406,0.03642987249544627,37,20,1041,17,4349
zero_shot_bart,0.0,7,excitement,0.11287988422575977,0.7572815533980582,0.1964735516372796,103,78,613,25,4711
zero_shot_bart,0.0,7,fear,0.15454545454545454,0.6538461538461539,0.25,78,51,279,27,5070
zero_shot_bart,0.0,7,gratitude,0.5364485981308411,0.8153409090909091,0.6471251409244645,352,287,248,65,4827
zero_shot_bart,0.0,7,grief,0.003795066413662239,0.3333333333333333,0.0075046904315197,6,2,525,4,4896
zero_shot_bart,0.0,7,joy,0.14305177111716622,0.6521739130434783,0.2346368715083799,161,105,629,56,4637
zero_shot_bart,0.0,7,love,0.38544474393531,0.6008403361344538,0.4696223316912972,238,143,228,95,4961
zero_shot_bart,0.0,7,nervousness,0.03480278422273782,0.6521739130434783,0.06607929515418502,23,15,416,8,4988
zero_shot_bart,0.0,7,optimism,0.11293260473588343,0.3333333333333333,0.16870748299319727,186,62,487,124,4754
zero_shot_bart,0.0,7,pride,0.02727272727272727,0.75,0.05263157894736842,16,12,428,4,4983
zero_shot_bart,0.0,7,realization,0.043547110055423596,0.3793103448275862,0.078125,145,55,1208,90,4074
zero_shot_bart,0.0,7,relief,0.010576923076923078,1.0,0.02093244529019981,11,11,1029,0,4387
zero_shot_bart,0.0,7,remorse,0.13966480446927373,0.8928571428571429,0.24154589371980675,56,50,308,6,5063
zero_shot_bart,0.0,7,sadness,0.220873786407767,0.5833333333333334,0.3204225352112676,156,91,321,65,4950
zero_shot_bart,0.0,7,surprise,0.04690431519699812,0.8865248226950354,0.08909479686386315,141,125,2540,16,2746
zero_shot_bart,0.0,7,neutral,0.32857142857142857,0.02574146614437605,0.04774260508562533,1787,46,94,1741,3546
zero_shot_bart,0.0,21,admiration,0.28507795100222716,0.7619047619047619,0.41491085899513774,504,384,963,120,3960
zero_shot_bart,0.0,21,amusement,0.24076147816349383,0.8143939393939394,0.3716508210890233,264,215,678,49,4485
zero_shot_bart,0.0,21,anger,0.15797317436661698,0.5353535353535354,0.24395857307249713,198,106,565,92,4664
zero_shot_bart,0.0,21,annoyance,0.10730253353204174,0.675,0.18516930990141447,320,216,1797,104,3310
zero_shot_bart,0.0,21,approval,0.10728744939271255,0.452991452991453,0.1734860883797054,351,159,1323,192,3753
zero_shot_bart,0.0,21,caring,0.037991266375545854,0.6444444444444445,0.07175257731958763,135,87,2203,48,3089
zero_shot_bart,0.0,21,confusion,0.051762114537444934,0.9215686274509803,0.09801876955161627,153,141,2583,12,2691
zero_shot_bart,0.0,21,curiosity,0.1912621359223301,0.6936619718309859,0.2998477929984779,284,197,833,87,4310
zero_shot_bart,0.0,21,desire,0.06636670416197975,0.7108433734939759,0.12139917695473251,83,59,830,24,4514
zero_shot_bart,0.0,21,disappointment,0.06355241716458447,0.7748344370860927,0.11746987951807229,151,117,1724,34,3552
zero_shot_bart,0.0,21,disapproval,0.08589951377633712,0.7940074906367042,0.1550274223034735,267,212,2256,55,2904
zero_shot_bart,0.0,21,disgust,0.08316633266533066,0.6747967479674797,0.1480820695807315,123,83,915,40,4389
zero_shot_bart,0.0,21,embarrassment,0.01885014137606032,0.5405405405405406,0.03642987249544627,37,20,1041,17,4349
zero_shot_bart,0.0,21,excitement,0.11287988422575977,0.7572815533980582,0.1964735516372796,103,78,613,25,4711
zero_shot_bart,0.0,21,fear,0.15454545454545454,0.6538461538461539,0.25,78,51,279,27,5070
zero_shot_bart,0.0,21,gratitude,0.5364485981308411,0.8153409090909091,0.6471251409244645,352,287,248,65,4827
zero_shot_bart,0.0,21,grief,0.003795066413662239,0.3333333333333333,0.0075046904315197,6,2,525,4,4896
zero_shot_bart,0.0,21,joy,0.14305177111716622,0.6521739130434783,0.2346368715083799,161,105,629,56,4637
zero_shot_bart,0.0,21,love,0.38544474393531,0.6008403361344538,0.4696223316912972,238,143,228,95,4961
zero_shot_bart,0.0,21,nervousness,0.03480278422273782,0.6521739130434783,0.06607929515418502,23,15,416,8,4988
zero_shot_bart,0.0,21,optimism,0.11293260473588343,0.3333333333333333,0.16870748299319727,186,62,487,124,4754
zero_shot_bart,0.0,21,pride,0.02727272727272727,0.75,0.05263157894736842,16,12,428,4,4983
zero_shot_bart,0.0,21,realization,0.043547110055423596,0.3793103448275862,0.078125,145,55,1208,90,4074
zero_shot_bart,0.0,21,relief,0.010576923076923078,1.0,0.02093244529019981,11,11,1029,0,4387
zero_shot_bart,0.0,21,remorse,0.13966480446927373,0.8928571428571429,0.24154589371980675,56,50,308,6,5063
zero_shot_bart,0.0,21,sadness,0.220873786407767,0.5833333333333334,0.3204225352112676,156,91,321,65,4950
zero_shot_bart,0.0,21,surprise,0.04690431519699812,0.8865248226950354,0.08909479686386315,141,125,2540,16,2746
zero_shot_bart,0.0,21,neutral,0.32857142857142857,0.02574146614437605,0.04774260508562533,1787,46,94,1741,3546
zero_shot_bart,0.0,42,admiration,0.28507795100222716,0.7619047619047619,0.41491085899513774,504,384,963,120,3960
zero_shot_bart,0.0,42,amusement,0.24076147816349383,0.8143939393939394,0.3716508210890233,264,215,678,49,4485
zero_shot_bart,0.0,42,anger,0.15797317436661698,0.5353535353535354,0.24395857307249713,198,106,565,92,4664
zero_shot_bart,0.0,42,annoyance,0.10730253353204174,0.675,0.18516930990141447,320,216,1797,104,3310
zero_shot_bart,0.0,42,approval,0.10728744939271255,0.452991452991453,0.1734860883797054,351,159,1323,192,3753
zero_shot_bart,0.0,42,caring,0.037991266375545854,0.6444444444444445,0.07175257731958763,135,87,2203,48,3089
zero_shot_bart,0.0,42,confusion,0.051762114537444934,0.9215686274509803,0.09801876955161627,153,141,2583,12,2691
zero_shot_bart,0.0,42,curiosity,0.1912621359223301,0.6936619718309859,0.2998477929984779,284,197,833,87,4310
zero_shot_bart,0.0,42,desire,0.06636670416197975,0.7108433734939759,0.12139917695473251,83,59,830,24,4514
zero_shot_bart,0.0,42,disappointment,0.06355241716458447,0.7748344370860927,0.11746987951807229,151,117,1724,34,3552
